## 一棟もの検索結果 - 福岡
## 条件: 15000万〜20000万
## 取得日: 2026-06-18
## 件数: 17件 (全17件中スコア40+上位25)

75|健美家(一棟マンション)|福岡市南区　一棟マンション|1億8000万円|福岡県福岡市南区清水2丁目21-28|433.15m²|1991年2月|竹下駅 歩9分|RC造5階建|20戸|6.46%||||https://www.kenbiya.com/pp3/f/fukuoka/fukuoka-shi/3/re_4528749c5r/
75|楽待(一棟マンション)|福岡市南区 賃貸中 笹原駅徒歩2分|2億円|福岡県福岡市南区井尻３丁目|673.82㎡|1991年05月|ＪＲ鹿児島本線「笹原」駅 徒歩2分|RC造|21戸|5.64%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3589742/show.html
70|楽待(一棟マンション)|ラカーサ田島|2億円|福岡県福岡市南区大楠３丁目|543.42㎡|1981年10月|高宮駅徒歩５分|SRC造|30戸|5.66%|1R×30戸|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3634147/show.html
70|楽待(一棟マンション)|壽ビル|1億5800万円|福岡県福岡市東区箱崎ふ頭３丁目|559.62㎡|1988年10月|貝塚駅 徒歩14分|RC造|24戸|6.82%|1R×12戸, 1K×8戸, 1DK×4戸, 9Dx0|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3596650/show.html
70|楽待(一棟マンション)|96部屋賃貸中（入居率97％）利回り10.60％|1億6200万円|福岡県福岡市南区市崎2丁目|1077.99㎡|1971年06月|西鉄平尾駅 徒歩13分|RC造|21戸|8.79%|2DK×21戸, 9Dx0|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3430931/show.html
65|楽待(一棟マンション)|イルグラッツィア・マリーナⅠ|1億5500万円|福岡県福岡市中央区港2|260.20㎡|2006年07月|大濠公園駅 徒歩6分|S造|10戸|4.86%|9Dx0|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3619249/show.html
65|楽待(一棟マンション)|八女市本村一棟マンション|2億円|福岡県福岡市南区5|852.21㎡|1974年03月|井尻駅 徒歩12分|RC造|18戸|6.39%|1LDK×1戸, 2LDK×1戸|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3613347/show.html
65|健美家(一棟マンション)|イルグラッツィア・マリーナ1|1億5500万円|福岡県福岡市中央区港2-4-25|260.2m²|2006年7月|大濠公園駅 歩6分|S造4階建|10戸|4.86%||||https://www.kenbiya.com/pp3/f/fukuoka/fukuoka-shi/2/re_44756730pj/
62|楽待(一棟アパート)|REGALEST CLASS南福岡|1億6000万円|福岡県福岡市博多区南八幡町1|278.16㎡|2022年8月築|南福岡駅 徒歩9分|木造|9戸|4.5%|1LDK×9戸|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3657290/show.html
62|健美家(一棟アパート)|REGALEST CLASS南福岡|1億6000万円|福岡県福岡市博多区南八幡町1-6|278.16m²|2022年8月|南福岡駅 歩9分|木造3階建|9戸|4.5%|1LDK×9戸|||https://www.kenbiya.com/pp2/f/fukuoka/fukuoka-shi/1/re_4543640ngt/
62|健美家(一棟アパート)|福岡県福岡市博多区 一棟売りアパート|1億7400万円|福岡県福岡市博多区南八幡町|278.16m²|2022年8月|南福岡駅 歩9分|木造3階建|8戸|4.14%|1LDK×8戸|||https://www.kenbiya.com/pp2/f/fukuoka/fukuoka-shi/1/re_44977146ap/
57|楽待(一棟マンション)|グランディール茶山|1億9800万円|福岡県福岡市中央区桜坂1|401.67㎡|1989年05月|桜坂駅 徒歩3分|RC造|8戸|3.62%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3640154/show.html
57|楽待(一棟マンション)|サンシティ城野|1億9800万円|福岡県福岡市中央区桜坂|401.67㎡|1989年05月|桜坂駅 徒歩4分|RC造|8戸|3.4%|1LDK×8戸|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3570701/show.html
57|健美家(一棟アパート)|井尻 DUPLEST SUNRISE|1億5500万円|福岡県福岡市南区井尻2丁目11番20号|350.47m²|2024年2月|井尻駅 歩12分|木造2階建|8戸|4.09%|1LDK×8戸|||https://www.kenbiya.com/pp2/f/fukuoka/fukuoka-shi/3/re_4543687x3g/
55|楽待(一棟マンション)|シャトレ穴生Ⅱ|1億7304万円|福岡県福岡市中央区平尾1丁目|314.59㎡|1991年06月|薬院駅 徒歩8分|RC造|12戸|3.78%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3650607/show.html
50|健美家(一棟アパート)|D-room中尾弐番館|1億7500万円|福岡県福岡市南区中尾2丁目|394.79m²|2016年8月|大橋駅 歩42分|2階建|8戸|4.91%|1LDK×4戸, 2LDK×4戸|||https://www.kenbiya.com/pp2/f/fukuoka/fukuoka-shi/3/re_4507829qu2/
47|健美家(一棟アパート)|福岡県福岡市南区 一棟売りアパート|1億9100万円|福岡県福岡市南区井尻|350.47m²|2024年2月|井尻駅 歩12分|木造2階建|8戸|3.32%||||https://www.kenbiya.com/pp2/f/fukuoka/fukuoka-shi/3/re_4493950xtu/
