## 一棟もの検索結果 - 東京
## 条件: 8000万〜30000万
## 取得日: 2026-07-23
## 件数: 30件 (全180件中スコア30+上位30)

93|健美家(一棟マンション)|東京都板橋区 一棟売りマンション|1億980万円|東京都板橋区東山町36-3|122.62m²|2005年11月|ときわ台駅 歩9分|RC造3階建|5戸|9.09%||||https://www.kenbiya.com/pp3/s/tokyo/itabashi-ku/re_4607036sx6/|0|1.21
86|健美家(一棟アパート)|健美家 杉並区上井草#9ucy|0億8380万円|東京都杉並区上井草|117.9m²|2015年1月|井荻駅 歩9分|2階建|11戸|8.11%||||https://www.kenbiya.com/pp2/s/tokyo/suginami-ku/re_4605109ucy/|0|1.08
78|健美家(一棟マンション)|健美家 板橋区板橋#4cym|1億7000万円|東京都板橋区板橋|310.03m²|2019年|新板橋駅 歩4分|5階建|10戸|5.85%||||https://www.kenbiya.com/pp3/s/tokyo/itabashi-ku/re_4604534cym/|0|0.78
78|健美家(一棟マンション)|健美家 豊島区駒込2丁目#2sbh|2億7000万円|東京都豊島区駒込2丁目|255.72m²|1989年6月|駒込駅 歩2分|3階建|6戸|7.62%||||https://www.kenbiya.com/pp3/s/tokyo/toshima-ku/re_4598822sbh/|0|1.01
78|健美家(一棟アパート)|健美家 世田谷区世田谷1丁目#1clw|1億5000万円|東京都世田谷区世田谷1丁目14-3|116.1m²|2021年1月|世田谷駅 歩5分|2階建|12戸|5.26%||||https://www.kenbiya.com/pp2/s/tokyo/setagaya-ku/re_4603101clw/|0|0.7
77|健美家(一棟マンション)|健美家 渋谷区上原1#181t|2億5600万円|東京都渋谷区上原1|175.98m²|2019年12月|代々木上原駅 歩5分|鉄骨造3階建|9戸|4.01%||||https://www.kenbiya.com/pp3/s/tokyo/shibuya-ku/re_459474181t/|0|0.53
75|健美家(一棟マンション)|保谷　一棟売りマンション|1億5000万円|東京都練馬区南大泉4丁目|298.11m²|1987年9月|保谷駅 歩8分|RC造4階建|15戸|6.3%|1R×15戸|||https://www.kenbiya.com/pp3/s/tokyo/nerima-ku/re_46070434yw/|0|0.84
75|健美家(一棟マンション)|健美家 練馬区関町北2丁目#683o|1億6500万円|東京都練馬区関町北2丁目|336.88m²|1983年6月|★武蔵関駅歩2分|RC造4階建|19戸|6.71%||||https://www.kenbiya.com/pp3/s/tokyo/nerima-ku/re_460141683o/|0|0.89
75|健美家(一棟アパート)|健美家 板橋区相生町#8otu|0億8530万円|東京都板橋区相生町|101.28m²|2017年2月|志村三丁目駅 歩5分|3階建|6戸|5.5%||||https://www.kenbiya.com/pp2/s/tokyo/itabashi-ku/re_4600478otu/|0|0.73
73|健美家(一棟マンション)|健美家 練馬区豊玉上1丁目#26vk|1億9500万円|東京都練馬区豊玉上1丁目|419.40m²|1991年1月|江古田駅 歩3分|4階建|11戸|7.46%||||https://www.kenbiya.com/pp3/s/tokyo/nerima-ku/re_45992526vk/|0|0.99
73|健美家(一棟マンション)|一棟売りマンション|2億7300万円|東京都板橋区坂下|329.80m²|2023年7月|蓮根駅 歩10分|5階建|14戸|5.0%||||https://www.kenbiya.com/pp3/s/tokyo/itabashi-ku/re_4595935lpl/|0|0.66
