## マルチサイト検索結果 - 大阪
## ソース: Yahoo不動産, athome
## 条件: 5000万以下, 40-70㎡
## 取得日: 2026-04-01
## 件数: 16件

Yahoo不動産|ステイツ枚方・長尾ヒルズ|2590万円|大阪府枚方市長尾谷町3丁目|103.45㎡|1996年9月（築30年）|片町線 「藤阪」駅 徒歩13分|4LDK||||https://realestate.yahoo.co.jp/used/mansion/detail_corp/b0023928276/
Yahoo不動産|レック住道スカイハイツ|1580万円|大阪府大東市扇町|61.16㎡|1982年4月（築45年）|片町線 「住道」駅 徒歩6分|3DK||||https://realestate.yahoo.co.jp/used/mansion/detail_corp/b0024774221/
Yahoo不動産|ディオ・フェルティ枚方長尾|2298万円|大阪府枚方市長尾谷町2丁目|63.0㎡|1996年1月（築31年）|片町線 「長尾」駅 徒歩15分|3LDK||||https://realestate.yahoo.co.jp/used/mansion/detail_corp/b0024734603/
Yahoo不動産|ラウンドシティフドウ香里南B棟|1060万円|大阪府寝屋川市宇谷町|63.33㎡|1985年3月（築42年）|京阪本線 「寝屋川市」駅 徒歩37分|3LDK||||https://realestate.yahoo.co.jp/used/mansion/detail_corp/b0018977451/
athome|ハイム弁天 1階 ワンルーム|1350万円|大阪市西区九条３丁目|69.12m²|1979年7月|地下鉄中央線 「九条」駅 徒歩5分|ワンルーム||||https://www.athome.co.jp/mansion/1101426514/
athome|ダイアパレス阿波座 3階 ３ＤＫ|1380万円|大阪市西区立売堀４丁目|44.37m²|1981年1月|地下鉄中央線 「阿波座」駅 徒歩3分|３ＤＫ||||https://www.athome.co.jp/mansion/1025621182/
athome|ダイアパレス阿波座 3階 ３ＤＫ|1380万円|大阪市西区立売堀４丁目|44.37m²|1981年1月|地下鉄中央線 「阿波座」駅 徒歩3分|３ＤＫ||||https://www.athome.co.jp/mansion/1114148319/
athome|ダイアパレス阿波座 3階 ３Ｋ|1380万円|大阪市西区立売堀４丁目|44.37m²|1981年1月|地下鉄中央線 「阿波座」駅 徒歩3分|３Ｋ||||https://www.athome.co.jp/mansion/1114916506/
athome|ダイアパレス阿波座 3階 ３ＤＫ|1380万円|大阪市西区立売堀４丁目|44.37m²|1981年1月|地下鉄中央線 「阿波座」駅 徒歩3分|３ＤＫ||||https://www.athome.co.jp/mansion/1101878014/
athome|ダイアパレス阿波座 3階 ３ＤＫ|1380万円|大阪市西区立売堀４丁目|44.37m²|1981年1月|地下鉄中央線 「阿波座」駅 徒歩3分|３ＤＫ||||https://www.athome.co.jp/mansion/1016412987/
athome|ユーロハイツ本田 8階 ２ＬＤＫ|1680万円|大阪市西区本田４丁目|55.40m²|1982年6月|地下鉄中央線 「九条」駅 徒歩7分|２ＬＤＫ||||https://www.athome.co.jp/mansion/6989362387/
athome|野田パークマンション 5階 ３ＤＫ|1980万円|大阪市福島区大開３丁目|48.92m²|1974年7月|ＪＲ大阪環状線 「野田」駅 徒歩7分|３ＤＫ||||https://www.athome.co.jp/mansion/1175602614/
athome|野田パークマンション 5階 ３ＤＫ|1980万円|大阪市福島区大開３丁目|48.92m²|1974年7月|ＪＲ大阪環状線 「野田」駅 徒歩11分|３ＤＫ||||https://www.athome.co.jp/mansion/1193773516/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2580万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩4分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1166447107/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2580万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1016960391/
athome|福島グランドヴィラ 1階 ２ＳＤＫ|2580万円|大阪市福島区大開３丁目|52.38m²|1984年3月|阪神本線 「淀川」駅 徒歩6分|２ＳＤＫ||||https://www.athome.co.jp/mansion/1189730019/
