## 小規模一棟 利回りフォーカス - 福岡
## 条件: 3000万〜8000万
## 取得日: 2026-05-28
## 件数: 25件 (全31件中)

80|楽待(一棟マンション)|シャトーヤマモト|7860万円|福岡県福岡市東区箱崎4丁目|271.93㎡|1988年06月|箱崎九大前駅 徒歩5分|S造5階建|14戸|7.11%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3499456/show.html
80|楽待(一棟マンション)|第2Nハイツ|7480万円|福岡県福岡市南区井尻1|296.55㎡|1987年05月|井尻駅 徒歩2分|RC造3階建|12戸|6.0%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3416902/show.html
77|楽待(一棟マンション)|ロイヤルコート井尻|5900万円|福岡県福岡市博多区諸岡4|191.52㎡|1994年11月|笹原駅 徒歩9分|RC造3階建|9戸|7.48%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3599465/show.html
70|楽待(一棟アパート)|コンパートハウス井尻|5000万円|福岡県福岡市南区井尻2丁目|125.17㎡|1994年01月|笹原駅 徒歩3分|木造2階建|10戸|7.05%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3633451/show.html
68|楽待(一棟マンション)|〇満室〇福岡市博多区昭南町2丁目 一棟マンション|5000万円|福岡県福岡市博多区昭南町2丁目|255.86㎡|1987年02月|南福岡駅 徒歩7分|S造3階建|5戸|7.17%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3351878/show.html
67|楽待(一棟アパート)|竹下駅徒歩約14分◆1Kロフト付8戸◆駐車場2台付|5500万円|福岡県福岡市南区高木一丁目|149.42㎡|2007年12月|竹下駅 徒歩14分|木造2階建|8戸|7.38%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3622227/show.html
67|楽待(一棟アパート)|大和ハウスの築15年、オール電化セキュリティ付アパート|5500万円|福岡県福岡市東区箱崎ふ頭3丁目|134.72㎡|2018年12月|貝塚駅 徒歩13分|木造2階建|6戸|6.05%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3611620/show.html
67|楽待(一棟アパート)|キーレスト|7400万円|福岡県福岡市博多区吉塚2|187.30㎡|2015年02月|吉塚駅 徒歩6分|木造2階建|6戸|6.76%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3586721/show.html
67|楽待(一棟アパート)|福岡市博多区＃2005年築＃木造アパート＃高稼働中＃6.4％|7860万円|福岡県福岡市南区横手３丁目|178.92㎡|2026年08月|井尻駅 徒歩12分|木造3階建|6戸|6.0%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3569171/show.html
67|楽待(一棟アパート)|ハーモニーテラスHR堅粕|7600万円|福岡県福岡市博多区吉塚２丁目|187.30㎡|2015年02月|吉塚駅 徒歩6分|木造2階建|6戸|6.4%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3568573/show.html
67|楽待(一棟アパート)|春日市|6850万円|福岡県福岡市南区井尻2丁目|162.92㎡|2008年築|満室賃貸中の1棟アパート。井尻駅徒歩10分|木造2階建|9戸|6.35%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3551581/show.html
65|楽待(一棟アパート)|シャーミー大池Ⅰ・Ⅱ・Ⅲ|6700万円|福岡県福岡市南区大池一丁目|286.80㎡|1990年05月|高宮駅 徒歩20分|S造2階建|20戸|8.77%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3627716/show.html
62|楽待(一棟マンション)|アクセス平尾|6750万円|福岡県福岡市南区那の川1丁目|169.89㎡|1989年05月|西鉄平尾駅 徒歩11分|RC造3階建|9戸|5.49%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3477065/show.html
62|楽待(一棟アパート)|サンリット東二島|5000万円|福岡県福岡市南区井尻2|198.36㎡|1993年11月|メゾンド・シェリールは、西鉄天神大牟田線「井尻駅」徒歩11分|S造2階建|9戸|6.6%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3612174/show.html
57|楽待(一棟アパート)|福岡市博多区＃1999年築＃木造アパート＃満室稼働＃7.2％|4700万円|福岡県福岡市博多区吉塚4丁目|115.87㎡|1999年|吉塚駅 徒歩16分|木造2階建|7戸|7.24%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3629094/show.html
57|楽待(一棟アパート)|ジェイ・ワイ・タウンD棟|8000万円|福岡県福岡市南区大楠２−１４−２７|179.66㎡|2001年03月|西鉄平尾駅 徒歩6分|木造2階建|8戸|5.68%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3613682/show.html
57|楽待(一棟アパート)|ブルールーフ|5500万円|福岡県福岡市南区横手3丁目|207.72㎡|1995年12月|井尻駅 徒歩15分|木造3階建|9戸|7.56%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3564554/show.html
57|楽待(一棟アパート)|大野城市＿1棟アパート＿満室稼働中|7400万円|福岡県福岡市南区大橋3丁目|182.16㎡|2005年03月|大橋駅 徒歩7分|木造2階建|8戸|5.52%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3553763/show.html
52|楽待(一棟マンション)|コーポナカノ|7500万円|福岡県福岡市南区大楠3丁目|224.31㎡|1978年11月|西鉄高宮駅徒歩5分|RC造3階建|7戸|3.88%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3633399/show.html
52|楽待(一棟マンション)|アークパレス|6000万円|福岡県福岡市博多区諸岡5丁目|330.14㎡|1984年12月|笹原駅 徒歩6分|RC造4階建|9戸|||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1001/3511023/show.html
52|楽待(一棟アパート)|ドリームコーポ|3600万円|福岡県福岡市南区横手3丁目|133.38㎡|1994年08月|井尻駅 徒歩17分|木造2階建|8戸|7.4%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3633439/show.html
52|楽待(一棟アパート)|フラワーヒルズ曰佐|3920万円|福岡県福岡市南区曰佐１−２５−１１|144.56㎡|1996年09月|井尻駅 徒歩19分|木造2階建|9戸|7.21%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3632728/show.html
52|楽待(一棟アパート)|Prevoyance春日岡本|4700万円|福岡県福岡市博多区吉塚|115.87㎡|1999年01月|満室賃貸中の1棟アパート「ベルメゾン博多」。想定年収入304万8000円、表面利回り6.48%。吉塚駅徒歩16分|木造2階建|7戸|6.48%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3607997/show.html
52|楽待(一棟アパート)|福岡市西区一棟アパート|7980万円|福岡県福岡市博多区堅粕3|188.38㎡|2004年01月|博多駅 徒歩13分|木造2階建|9戸|5.86%||||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3582051/show.html
52|楽待(一棟アパート)|メゾン・ウィスタリア|5980万円|福岡県福岡市博多区那珂1丁目|210.00㎡|1972年10月|竹下駅 徒歩11分|S造2階建|6戸|5.8%|1LDK×6戸|||https://www.rakumachi.jp/syuuekibukken/kyushu/fukuoka/dim1002/3559652/show.html
