## 小規模一棟 利回りフォーカス - 東京
## 条件: 3000万〜8000万
## 取得日: 2026-07-08
## 件数: 25件 (全45件中)

73|楽待(一棟アパート)|江東区|7530万円|東京都北区浮間２丁目|141.98㎡|2017年03月|◎JR埼京線「浮間舟渡」駅徒歩5分|S造3階建|3戸|4.6%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3677111/show.html
72|楽待(一棟アパート)|新中野駅6分！3駅利用可能×2017年築|7685万円|東京都中野区野方6丁目|89.92㎡|2008年11月|野方駅 徒歩5分|木造2階建|8戸|6.43%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3676745/show.html
72|楽待(一棟アパート)|はっぴーはいむ布田１．２|7685万円|東京都中野区野方|79.12㎡|2008年11月|西武新宿線「野方」駅 徒歩5分|木造2階建|8戸|6.43%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3676697/show.html
72|楽待(一棟アパート)|京成立石|7980万円|東京都八王子市大塚|186.22㎡|2024年02月|多摩モノレール大塚・帝京大学駅徒歩6分|木造2階建|6戸|6.24%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3676275/show.html
72|楽待(一棟アパート)|駅徒歩8分の一棟売アパート|7685万円|東京都中野区野方6丁目|79.12㎡|2008年築|2008年築：1R×8戸◇西武野方駅徒歩5分|木造2階建|8戸|6.43%|1R×8戸|||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3676216/show.html
72|楽待(一棟アパート)|東武東上線『上板橋』駅徒歩圏【満室稼働中】想定利回り7.5％|7685万円|東京都中野区野方６丁目|79.12㎡|2008年11月|野方駅 徒歩5分|木造2階建|8戸|6.43%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1002/3676191/show.html
68|楽待(一棟マンション)|足立区南花畑|7000万円|東京都北区滝野川7丁目|111.19㎡|1997年03月|・JR埼京線「板橋」駅徒歩5分|S造3階建|3戸|5.48%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1001/3676493/show.html
68|楽待(一棟マンション)|土地先行|7200万円|東京都板橋区赤塚新町3丁目|168.28㎡|1991年10月|東京メトロ有楽町線「地下鉄成増」駅徒歩10分|RC造3階建|4戸|6.6%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1001/3674903/show.html
68|楽待(一棟マンション)|東大島|7000万円|東京都北区滝野川７丁目|111.19㎡|1997年03月|板橋駅 徒歩5分|S造3階建|3戸|5.48%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1001/3674662/show.html
68|楽待(一棟マンション)|北区|7000万円|東京都北区滝野川７丁目|111.19㎡|1997年03月|板橋駅 徒歩5分|S造3階建|3戸|5.49%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1001/3674211/show.html
68|楽待(一棟マンション)|ベルトピア調布Ｂ棟|7000万円|東京都北区滝野川7丁目|111.19㎡|1997年03月|板橋駅徒歩5分・新板橋駅徒歩9分|S造3階建|3戸|5.48%||||https://www.rakumachi.jp/syuuekibukken/kanto/tokyo/dim1001/3672714/show.html
